,Type of Work:,Registration Number / Date:,Application Title:,Title:,Area Covered:,Description:,Copyright Claimant:,Date of Creation:,Date of Publication:,Authorship on Application:,Previous Registration:,Basis of Claim:,Copyright Note:,Variant title:,Other Title:,Names:,Edition:,Notes:,Series:,Scale:
497,['Text'],"['RE0000755238 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan65  ']",[],"['Sanborn Map Lakewood, New Jersey 1965.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Lakewood, New Jersey 1965']","['Lakewood, New Jersey 1965']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
498,['Text'],"['RE0000755205 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan64  ']",[],"['Sanborn Map Lamesa, Texas 1964.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Lamesa, Texas 1964.']","['Lamesa, Texas 1964']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
499,['Text'],"['RE0000752215 / 1997-04-29 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1966-08-01  ']",[],"['Sanborn Map Lansing, Michigan 1966.  Vols. 1, 2 & 3.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Lansing, Michigan 1966']","['Lansing, Michigan 1966']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
500,['Text'],"['RE0000755204 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan68  ']",[],"['Sanborn Map Laredo, Texas 1968.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Laredo, Texas 1968.']","['Laredo, Texas 1968']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
501,['Text'],"['RE0000761794 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PA0000102307 / *PUB approx. 1Jan68  ']",[],"['Sanborn Map Lawrence, Kansas 1968.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],['C.O. correspondence.'],"['Sanborn Map Lawrence, Kansas 1968.']","['Lawrence, Kansas 1968']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
502,['Text'],"['RE0000752604 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1968-01-01  ']",[],"['Sanborn Map Lawrence, Massachusetts 1968.  Vol. 1.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Lawrence, Massachusetts 1968.']","['Lawrence, Massachusetts 1968']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
503,['Text'],"['RE0000754333 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jun64  ']",[],"['Sanborn Map Lebanon, New Hampshire 1964.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc.  (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Lebanon, New Hampshire 1964']","['Lebanon, New Hampshire 1964']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
504,['Text'],"['RE0000754433 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan69  ']",[],"['Sanborn Map Lebanon, Pennsylvania 1969.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Lebanon, Pennsylvania 1969']","['Lebanon, Pennsylvania 1969']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
505,['Text'],"['RE0000752634 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1964-01-01  ']",[],"['Sanborn Map Lee, Massachusetts 1964.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Lee, Massachusetts 1964.']","['Lee, Massachusetts 1964']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
506,['Text'],"['RE0000819909 / 2000-01-10 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan70  ']",[],"['Sanborn Map Leominster, MA.  1970.  By Sanborn Map Company.']",[],[],"['Sanborn Library, LLC (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Leominster, MA.']",[],"['Sanborn Map Company.', 'Sanborn Library, LLC', 'Leominster, MA']",[],[],[],[]
